horizon,estimate,standard_error,confidence_lower,confidence_upper,nobs,df_resid
0,0.03926033726243894,0.06359825716647406,-0.08746195635946305,0.16598263088434093,88,74.0
1,0.08884441550919353,0.11740027682968689,-0.14513399879104577,0.32282282980943283,87,73.0
2,-0.02728807154893864,0.15608384806134348,-0.3384355360036141,0.2838593929057368,86,72.0
3,-0.06389949799356032,0.1944049194989975,-0.4515318979051491,0.32373290191802845,85,71.0
4,-0.0736382750717699,0.2361274300225512,-0.5445795846158998,0.39730303447236,84,70.0
5,-0.228028544839038,0.30309555931121196,-0.832687641226304,0.376630551548228,83,69.0
6,-0.3743143784222882,0.37207679608749994,-1.1167820651208515,0.368153308276275,82,68.0
7,-0.36073642672522976,0.4399454081297381,-1.2388711366672556,0.517398283216796,81,67.0
8,-0.4728469298278788,0.5115380694811533,-1.4941656382935047,0.5484717786377471,80,66.0
9,-0.633574462499146,0.5885951662321763,-1.8090801816777184,0.5419312566794265,79,65.0
10,-0.9177320970198553,0.5997716556546446,-2.1159137193403588,0.28044952530064826,78,64.0
11,-1.0268993286290757,0.648806434230476,-2.3234355304001526,0.26963687314200113,77,63.0
12,-1.2707114677946487,0.6781988938821933,-2.626411739548696,0.08498880395939867,76,62.0
13,-1.5787427864398458,0.8112517056269862,-3.200940830378939,0.043455257499247724,75,61.0
14,-1.7528880904816537,0.8915187515806314,-3.536191107553263,0.03041492658995537,74,60.0
15,-1.9211579401840044,0.9186851752214775,-3.7594427297203907,-0.08287315064761813,73,59.0
16,-1.9506905899743934,0.9103545880063636,-3.772963285558564,-0.12841789439022278,72,58.0
17,-2.019083762751703,0.9148077573590827,-3.8509546987547347,-0.18721282674867123,71,57.0
