horizon,estimate,standard_error,confidence_lower,confidence_upper,nobs,df_resid
0,0.03094053834692509,0.05399123694614065,-0.07674158832888943,0.13862266502273962,84,70.0
1,0.07607299714197735,0.1247941589593268,-0.17288453810609544,0.32503053239005014,83,69.0
2,-0.05601240011285713,0.15596548341814326,-0.3672366766491984,0.25521187642348414,82,68.0
3,-0.09973540563291594,0.17602903724578864,-0.45109083452654014,0.25162002326070826,81,67.0
4,-0.10819141728166959,0.2202136798742277,-0.5478622150851074,0.3314793805217682,80,66.0
5,-0.26370172841926154,0.29835297342348055,-0.8595537617247666,0.33215030488624353,79,65.0
6,-0.4263644140891223,0.3327391824092527,-1.0910873459415105,0.2383585177632659,78,64.0
7,-0.4083382028537539,0.3990134823943534,-1.2057030217347762,0.3890266160272684,77,63.0
8,-0.5307663161060572,0.49045057898112887,-1.5111630540018632,0.4496304217897489,76,62.0
9,-0.7154584459693787,0.5619275006823378,-1.8391019293910413,0.40818503745228396,75,61.0
10,-0.9730550881868321,0.5768734857656331,-2.1269738653416024,0.18086368896793803,74,60.0
11,-1.0870693583159032,0.640949459253947,-2.3696062638712254,0.19546754723941873,73,59.0
12,-1.334965754315735,0.6804798118311438,-2.6970940912659955,0.027162582634525645,72,58.0
13,-1.636702497145392,0.8529722333613885,-3.3447499321858807,0.07134493789509677,71,57.0
14,-1.8029355604437223,0.9526109808121126,-3.711244666428155,0.10537354554071032,70,56.0
15,-1.988544787770594,0.9869262646320558,-3.966389219897508,-0.010700355643679771,69,55.0
16,-1.9807927753317096,0.9574968754705344,-3.9004584294673625,-0.061127121196056455,68,54.0
17,-2.0379251547977058,0.9549543332137485,-3.9533209843526276,-0.12252932524278415,67,53.0
