horizon,estimate,standard_error,confidence_lower,confidence_upper,nobs,df_resid
0,0.02370413002947344,0.06648981818730947,-0.10890563091821534,0.15631389097716222,87,70.0
1,0.05716908150672939,0.15283767268029405,-0.2477337328624839,0.3620718958759427,86,69.0
2,-0.04434571416040123,0.16439873005053834,-0.37239827234277223,0.2837068440219698,85,68.0
3,-0.0800980111988503,0.17885200293079181,-0.43708810318286756,0.27689208078516697,84,67.0
4,-0.06726702171983323,0.2238408571031218,-0.514179712519715,0.3796456690800485,83,66.0
5,-0.19142951494280358,0.2927912683893977,-0.776174056289447,0.39331502640383986,82,65.0
6,-0.36616179918217484,0.32489814491953023,-1.0152204579207276,0.2828968595563779,81,64.0
7,-0.4278332925147217,0.39628965224188695,-1.2197549711711297,0.3640883861416865,80,63.0
8,-0.5350675500359028,0.4760051404582155,-1.4865882677733482,0.4164531677015427,79,62.0
9,-0.7206109093436064,0.5592244498271729,-1.8388493085238407,0.3976274898366279,78,61.0
10,-0.9828225630788034,0.5505820330182046,-2.0841506045653015,0.11850547840769465,77,60.0
11,-1.1325311058100094,0.5994593591066443,-2.332046512734159,0.06698430111414044,76,59.0
12,-1.4210534671076762,0.6613640291333701,-2.744917407608682,-0.09718952660667024,75,58.0
13,-1.691744371395882,0.8523647285700326,-3.398575299075327,0.015086556283562924,74,57.0
14,-1.818634396505523,1.0128755297576493,-3.8476679008406554,0.21039910782960947,73,56.0
15,-2.0267836704012154,1.0245089727754118,-4.0799455327247,0.026378191922269867,72,55.0
16,-2.0446228782240192,1.0003053621371283,-4.0501143806362006,-0.039131375811837454,71,54.0
17,-2.0681468769206153,0.990917391630883,-4.055675466875087,-0.08061828696614359,70,53.0
