horizon,estimate,standard_error,confidence_lower,confidence_upper,nobs,df_resid
0,-0.002923963799022128,0.05648992711421993,-0.11604309164311404,0.11019516404506978,71,57.0
1,0.08319648555664821,0.14265199330879633,-0.2024592037432283,0.3688521748565247,71,57.0
2,0.0777267335584651,0.11919134735480083,-0.16094982256588009,0.3164032896828103,71,57.0
3,-0.002320838252938051,0.15868348739271623,-0.3200790407166923,0.3154373642108162,71,57.0
4,0.0017520704052700342,0.2040824933050156,-0.40691607328401186,0.4104202140945519,71,57.0
5,-0.08598705727247535,0.26740262150739547,-0.6214515705649013,0.4494774560199506,71,57.0
6,-0.2217460511944256,0.31940249451322705,-0.8613385140685481,0.41784641167969694,71,57.0
7,-0.2640436952613646,0.3599322627677985,-0.9847956191383356,0.45670822861560634,71,57.0
8,-0.3138373785232125,0.4258548431237491,-1.1665969925503106,0.5389222355038855,71,57.0
9,-0.47920878271003065,0.49679801985785704,-1.4740296577195573,0.5156120922994959,71,57.0
10,-0.7735481249234866,0.4996251461078399,-1.7740302225976587,0.2269339727506856,71,57.0
11,-0.8673265547280854,0.542939904814987,-1.954544960590844,0.21989185113467313,71,57.0
12,-1.1230533832084357,0.6151370370188812,-2.3548440525693586,0.10873728615248734,71,57.0
13,-1.2915206173397153,0.7080591223054954,-2.7093845528923763,0.12634331821294564,71,57.0
14,-1.4676088393234519,0.7462559887577133,-2.9619606805998306,0.026743001952926893,71,57.0
15,-1.6701917982803351,0.7957036778505374,-3.263560929006855,-0.07682266755381528,71,57.0
16,-1.7638853168537953,0.8585275937156233,-3.483057169117554,-0.04471346459003689,71,57.0
17,-2.019083762751703,0.9307194048356157,-3.8828172232269065,-0.15535030227649904,71,57.0
