horizon,estimate,standard_error,confidence_lower,confidence_upper,nobs,df_resid
0,-0.004860910306480448,0.05132566046237682,-0.10722671231881183,0.09750489170585093,84,70.0
1,0.023102595817421245,0.13262718431457937,-0.2414813974495314,0.2876865890843739,83,69.0
2,-0.05075835964012365,0.14581490530382393,-0.341727472913289,0.24021075363304167,82,68.0
3,-0.060275785506597845,0.17619312818479677,-0.4119587412853021,0.2914071702721064,81,67.0
4,-0.057969324942348854,0.22271196093642187,-0.5026281018231058,0.38668945193840815,80,66.0
5,-0.17195678781506962,0.3020754967153017,-0.7752432135015429,0.43132963787140366,79,65.0
6,-0.3233725769865481,0.344974197691041,-1.0125377616883948,0.36579260771529865,78,64.0
7,-0.39947287798044107,0.40314504393610895,-1.205093963794273,0.4061482078333909,77,63.0
8,-0.4915208470082195,0.46554859882336336,-1.422139235850922,0.4390975418344829,76,62.0
9,-0.7376595405262729,0.6055584883179084,-1.9485485758606451,0.4732294948080993,75,61.0
10,-1.0464240512927234,0.657989326002178,-2.362598667003511,0.269750564418064,74,60.0
11,-1.132278311490507,0.6980714244150703,-2.5291160053205557,0.26455938233954157,73,59.0
12,-1.3011012961734088,0.6992288507446125,-2.700759912127679,0.09855731978086135,72,58.0
13,-1.2915206173397153,0.7080591223054937,-2.709384552892373,0.1263433182129423,71,57.0
14,-1.1986215683788974,0.6711610497503292,-2.543118712143439,0.14587557538564422,70,56.0
15,-1.2671846226476093,0.6892287099738896,-2.64842982336389,0.11406057806867165,69,55.0
16,-1.438478076181728,0.7890551560460923,-3.0204384157765336,0.14348226341307746,68,54.0
17,-1.5248504904816542,0.7674415071587786,-3.064143220106084,0.014442239142775426,67,53.0
