horizon,estimate,standard_error,confidence_lower,confidence_upper,nobs,df_resid
0,0.056371441007818414,0.06828474582350809,-0.07957304505946403,0.19231592707510084,89,78.0
1,0.11479345625355339,0.12670445225602156,-0.13750734121652727,0.367094253723634,88,77.0
2,-0.006306964584447683,0.13742070788185254,-0.280004024470714,0.2673900953018186,87,76.0
3,-0.05826569118656,0.16163018294122927,-0.38024952677555923,0.26371814440243924,86,75.0
4,-0.07359543692221715,0.204653986870273,-0.48137740722342354,0.33418653337898924,85,74.0
5,-0.23537877627513082,0.2805891752295567,-0.7945921960634421,0.3238346435131805,84,73.0
6,-0.38809920404496473,0.33394365699943607,-1.0538037175911694,0.2776053095012399,83,72.0
7,-0.38201619690076416,0.3931561884934042,-1.165947371474652,0.4019149776731238,82,71.0
8,-0.48454378171657364,0.4700765670576979,-1.422081932430443,0.4529943689972956,81,70.0
9,-0.6550358442279706,0.5525398828531076,-1.7573227501896675,0.44725106173372653,80,69.0
10,-0.9313094997998932,0.5595671976060319,-2.047908457669994,0.18528945807020736,79,68.0
11,-1.0552613244317146,0.6288217213259234,-2.3103947333908246,0.19987208452739536,78,67.0
12,-1.2963346694135118,0.6724161130512758,-2.6388567554619042,0.04618741663488035,77,66.0
13,-1.5884368697206777,0.8233085967844321,-3.232697678663894,0.05582393922253881,76,65.0
14,-1.7862279341951692,0.9144963282188828,-3.6131443678426773,0.04068849945233888,75,64.0
15,-1.969998127966035,0.9498395399611768,-3.868100989559704,-0.07189526637236598,74,63.0
16,-2.0122439037915045,0.9935609711858504,-3.9983439856280407,-0.026143821954968116,73,62.0
17,-2.101344792693725,0.9972791438982609,-4.095527689656249,-0.10716189573120039,72,61.0
