horizon,estimate,standard_error,confidence_lower,confidence_upper,nobs,df_resid
0,0.03926033726243894,0.056984108791936015,-0.07428297803961574,0.15280365256449363,88,74.0
1,0.08884441550919353,0.1173044350317145,-0.14494298636314668,0.32263181738153374,87,73.0
2,-0.02728807154893864,0.13744670035635603,-0.3012830610672257,0.2467069179693484,86,72.0
3,-0.06389949799356032,0.16012269767889292,-0.383175089071939,0.25537609308481835,85,71.0
4,-0.0736382750717699,0.20019531882191136,-0.47291524853305456,0.32563869838951476,84,70.0
5,-0.228028544839038,0.2741903915745273,-0.7750234093770993,0.31896631969902334,83,69.0
6,-0.3743143784222882,0.315926425274495,-1.004735744675235,0.25610698783065855,82,68.0
7,-0.36073642672522976,0.37204592313135926,-1.1033431973764762,0.3818703439260166,81,67.0
8,-0.4728469298278788,0.45459498943419524,-1.380475110766195,0.4347812511104373,80,66.0
9,-0.633574462499146,0.5331970962288147,-1.698442596022251,0.431293671023959,79,65.0
10,-0.9177320970198553,0.5288314146495513,-1.9741942962000398,0.13873010216032933,78,64.0
11,-1.0268993286290757,0.5877216549578701,-2.2013673394487734,0.14756868219062214,77,63.0
12,-1.2707114677946487,0.6357759137437142,-2.5416094105842033,0.00018647499490609398,76,62.0
13,-1.5787427864398458,0.8127718520565138,-3.2039805510320685,0.04649497815237691,75,61.0
14,-1.7528880904816537,0.9074788778252456,-3.5681161133194372,0.06233993235612978,74,60.0
15,-1.9211579401840044,0.941722407804948,-3.8055401256438595,-0.0367757547241494,73,59.0
16,-1.9506905899743934,0.9374466533394901,-3.8271939464174882,-0.07418723353129852,72,58.0
17,-2.019083762751703,0.9307194048356139,-3.882817223226903,-0.1553503022765026,71,57.0
