period,entity_code,series_key,frequency,value
2000Q1,USA,DATASET|USA|CPI_INDEX,Q,100.0
2000Q2,USA,DATASET|USA|CPI_INDEX,Q,101.0
2000Q3,USA,DATASET|USA|CPI_INDEX,Q,102.0
2000Q4,USA,DATASET|USA|CPI_INDEX,Q,103.0
2001Q1,USA,DATASET|USA|CPI_INDEX,Q,104.0
2001Q2,USA,DATASET|USA|CPI_INDEX,Q,105.0
2001Q3,USA,DATASET|USA|CPI_INDEX,Q,106.0
2001Q4,USA,DATASET|USA|CPI_INDEX,Q,107.0
2002Q1,USA,DATASET|USA|CPI_INDEX,Q,108.0
2002Q2,USA,DATASET|USA|CPI_INDEX,Q,109.0
2002Q3,USA,DATASET|USA|CPI_INDEX,Q,110.0
2002Q4,USA,DATASET|USA|CPI_INDEX,Q,111.0
2003Q1,USA,DATASET|USA|CPI_INDEX,Q,112.0
2003Q2,USA,DATASET|USA|CPI_INDEX,Q,113.0
2003Q3,USA,DATASET|USA|CPI_INDEX,Q,114.0
2003Q4,USA,DATASET|USA|CPI_INDEX,Q,115.0
2004Q1,USA,DATASET|USA|CPI_INDEX,Q,116.0
2004Q2,USA,DATASET|USA|CPI_INDEX,Q,117.0
2004Q3,USA,DATASET|USA|CPI_INDEX,Q,118.0
2004Q4,USA,DATASET|USA|CPI_INDEX,Q,119.0
2005Q1,USA,DATASET|USA|CPI_INDEX,Q,120.0
2005Q2,USA,DATASET|USA|CPI_INDEX,Q,121.0
2005Q3,USA,DATASET|USA|CPI_INDEX,Q,122.0
2005Q4,USA,DATASET|USA|CPI_INDEX,Q,123.0
2006Q1,USA,DATASET|USA|CPI_INDEX,Q,124.0
2006Q2,USA,DATASET|USA|CPI_INDEX,Q,125.0
2006Q3,USA,DATASET|USA|CPI_INDEX,Q,126.0
2006Q4,USA,DATASET|USA|CPI_INDEX,Q,127.0
2007Q1,USA,DATASET|USA|CPI_INDEX,Q,128.0
2007Q2,USA,DATASET|USA|CPI_INDEX,Q,129.0
2007Q3,USA,DATASET|USA|CPI_INDEX,Q,130.0
2007Q4,USA,DATASET|USA|CPI_INDEX,Q,131.0
2008Q1,USA,DATASET|USA|CPI_INDEX,Q,132.0
2008Q2,USA,DATASET|USA|CPI_INDEX,Q,133.0
2008Q3,USA,DATASET|USA|CPI_INDEX,Q,134.0
2008Q4,USA,DATASET|USA|CPI_INDEX,Q,135.0
2009Q1,USA,DATASET|USA|CPI_INDEX,Q,136.0
2009Q2,USA,DATASET|USA|CPI_INDEX,Q,137.0
2009Q3,USA,DATASET|USA|CPI_INDEX,Q,138.0
2009Q4,USA,DATASET|USA|CPI_INDEX,Q,139.0
2010Q1,USA,DATASET|USA|CPI_INDEX,Q,140.0
2010Q2,USA,DATASET|USA|CPI_INDEX,Q,141.0
2010Q3,USA,DATASET|USA|CPI_INDEX,Q,142.0
2010Q4,USA,DATASET|USA|CPI_INDEX,Q,143.0
2011Q1,USA,DATASET|USA|CPI_INDEX,Q,144.0
2011Q2,USA,DATASET|USA|CPI_INDEX,Q,145.0
2011Q3,USA,DATASET|USA|CPI_INDEX,Q,146.0
2011Q4,USA,DATASET|USA|CPI_INDEX,Q,147.0
2012Q1,USA,DATASET|USA|CPI_INDEX,Q,148.0
2012Q2,USA,DATASET|USA|CPI_INDEX,Q,149.0
2012Q3,USA,DATASET|USA|CPI_INDEX,Q,150.0
2012Q4,USA,DATASET|USA|CPI_INDEX,Q,151.0
2013Q1,USA,DATASET|USA|CPI_INDEX,Q,152.0
2013Q2,USA,DATASET|USA|CPI_INDEX,Q,153.0
2013Q3,USA,DATASET|USA|CPI_INDEX,Q,154.0
2013Q4,USA,DATASET|USA|CPI_INDEX,Q,155.0
2014Q1,USA,DATASET|USA|CPI_INDEX,Q,156.0
2014Q2,USA,DATASET|USA|CPI_INDEX,Q,157.0
2014Q3,USA,DATASET|USA|CPI_INDEX,Q,158.0
2014Q4,USA,DATASET|USA|CPI_INDEX,Q,159.0
2015Q1,USA,DATASET|USA|CPI_INDEX,Q,160.0
2015Q2,USA,DATASET|USA|CPI_INDEX,Q,161.0
2015Q3,USA,DATASET|USA|CPI_INDEX,Q,162.0
2015Q4,USA,DATASET|USA|CPI_INDEX,Q,163.0
2016Q1,USA,DATASET|USA|CPI_INDEX,Q,164.0
2016Q2,USA,DATASET|USA|CPI_INDEX,Q,165.0
2016Q3,USA,DATASET|USA|CPI_INDEX,Q,166.0
2016Q4,USA,DATASET|USA|CPI_INDEX,Q,167.0
2017Q1,USA,DATASET|USA|CPI_INDEX,Q,168.0
2017Q2,USA,DATASET|USA|CPI_INDEX,Q,169.0
2017Q3,USA,DATASET|USA|CPI_INDEX,Q,170.0
2017Q4,USA,DATASET|USA|CPI_INDEX,Q,171.0
2018Q1,USA,DATASET|USA|CPI_INDEX,Q,172.0
2018Q2,USA,DATASET|USA|CPI_INDEX,Q,173.0
2018Q3,USA,DATASET|USA|CPI_INDEX,Q,174.0
2018Q4,USA,DATASET|USA|CPI_INDEX,Q,175.0
2019Q1,USA,DATASET|USA|CPI_INDEX,Q,176.0
2019Q2,USA,DATASET|USA|CPI_INDEX,Q,177.0
2019Q3,USA,DATASET|USA|CPI_INDEX,Q,178.0
2019Q4,USA,DATASET|USA|CPI_INDEX,Q,179.0
2000Q1,USA,DATASET|USA|POLICY_RATE,Q,2.00
2000Q2,USA,DATASET|USA|POLICY_RATE,Q,2.01
2000Q3,USA,DATASET|USA|POLICY_RATE,Q,2.02
2000Q4,USA,DATASET|USA|POLICY_RATE,Q,2.03
2001Q1,USA,DATASET|USA|POLICY_RATE,Q,2.04
2001Q2,USA,DATASET|USA|POLICY_RATE,Q,2.05
2001Q3,USA,DATASET|USA|POLICY_RATE,Q,2.06
2001Q4,USA,DATASET|USA|POLICY_RATE,Q,2.07
2002Q1,USA,DATASET|USA|POLICY_RATE,Q,2.08
2002Q2,USA,DATASET|USA|POLICY_RATE,Q,2.09
2002Q3,USA,DATASET|USA|POLICY_RATE,Q,2.10
2002Q4,USA,DATASET|USA|POLICY_RATE,Q,2.11
2003Q1,USA,DATASET|USA|POLICY_RATE,Q,2.12
2003Q2,USA,DATASET|USA|POLICY_RATE,Q,2.13
2003Q3,USA,DATASET|USA|POLICY_RATE,Q,2.14
2003Q4,USA,DATASET|USA|POLICY_RATE,Q,2.15
2004Q1,USA,DATASET|USA|POLICY_RATE,Q,2.16
2004Q2,USA,DATASET|USA|POLICY_RATE,Q,2.17
2004Q3,USA,DATASET|USA|POLICY_RATE,Q,2.18
2004Q4,USA,DATASET|USA|POLICY_RATE,Q,2.19
2005Q1,USA,DATASET|USA|POLICY_RATE,Q,2.20
2005Q2,USA,DATASET|USA|POLICY_RATE,Q,2.21
2005Q3,USA,DATASET|USA|POLICY_RATE,Q,2.22
2005Q4,USA,DATASET|USA|POLICY_RATE,Q,2.23
2006Q1,USA,DATASET|USA|POLICY_RATE,Q,2.24
2006Q2,USA,DATASET|USA|POLICY_RATE,Q,2.25
2006Q3,USA,DATASET|USA|POLICY_RATE,Q,2.26
2006Q4,USA,DATASET|USA|POLICY_RATE,Q,2.27
2007Q1,USA,DATASET|USA|POLICY_RATE,Q,2.28
2007Q2,USA,DATASET|USA|POLICY_RATE,Q,2.29
2007Q3,USA,DATASET|USA|POLICY_RATE,Q,2.30
2007Q4,USA,DATASET|USA|POLICY_RATE,Q,2.31
2008Q1,USA,DATASET|USA|POLICY_RATE,Q,2.32
2008Q2,USA,DATASET|USA|POLICY_RATE,Q,2.33
2008Q3,USA,DATASET|USA|POLICY_RATE,Q,2.34
2008Q4,USA,DATASET|USA|POLICY_RATE,Q,2.35
2009Q1,USA,DATASET|USA|POLICY_RATE,Q,2.36
2009Q2,USA,DATASET|USA|POLICY_RATE,Q,2.37
2009Q3,USA,DATASET|USA|POLICY_RATE,Q,2.38
2009Q4,USA,DATASET|USA|POLICY_RATE,Q,2.39
2010Q1,USA,DATASET|USA|POLICY_RATE,Q,2.40
2010Q2,USA,DATASET|USA|POLICY_RATE,Q,2.41
2010Q3,USA,DATASET|USA|POLICY_RATE,Q,2.42
2010Q4,USA,DATASET|USA|POLICY_RATE,Q,2.43
2011Q1,USA,DATASET|USA|POLICY_RATE,Q,2.44
2011Q2,USA,DATASET|USA|POLICY_RATE,Q,2.45
2011Q3,USA,DATASET|USA|POLICY_RATE,Q,2.46
2011Q4,USA,DATASET|USA|POLICY_RATE,Q,2.47
2012Q1,USA,DATASET|USA|POLICY_RATE,Q,2.48
2012Q2,USA,DATASET|USA|POLICY_RATE,Q,2.49
2012Q3,USA,DATASET|USA|POLICY_RATE,Q,2.50
2012Q4,USA,DATASET|USA|POLICY_RATE,Q,2.51
2013Q1,USA,DATASET|USA|POLICY_RATE,Q,2.52
2013Q2,USA,DATASET|USA|POLICY_RATE,Q,2.53
2013Q3,USA,DATASET|USA|POLICY_RATE,Q,2.54
2013Q4,USA,DATASET|USA|POLICY_RATE,Q,2.55
2014Q1,USA,DATASET|USA|POLICY_RATE,Q,2.56
2014Q2,USA,DATASET|USA|POLICY_RATE,Q,2.57
2014Q3,USA,DATASET|USA|POLICY_RATE,Q,2.58
2014Q4,USA,DATASET|USA|POLICY_RATE,Q,2.59
2015Q1,USA,DATASET|USA|POLICY_RATE,Q,2.60
2015Q2,USA,DATASET|USA|POLICY_RATE,Q,2.61
2015Q3,USA,DATASET|USA|POLICY_RATE,Q,2.62
2015Q4,USA,DATASET|USA|POLICY_RATE,Q,2.63
2016Q1,USA,DATASET|USA|POLICY_RATE,Q,2.64
2016Q2,USA,DATASET|USA|POLICY_RATE,Q,2.65
2016Q3,USA,DATASET|USA|POLICY_RATE,Q,2.66
2016Q4,USA,DATASET|USA|POLICY_RATE,Q,2.67
2017Q1,USA,DATASET|USA|POLICY_RATE,Q,2.68
2017Q2,USA,DATASET|USA|POLICY_RATE,Q,2.69
2017Q3,USA,DATASET|USA|POLICY_RATE,Q,2.70
2017Q4,USA,DATASET|USA|POLICY_RATE,Q,2.71
2018Q1,USA,DATASET|USA|POLICY_RATE,Q,2.72
2018Q2,USA,DATASET|USA|POLICY_RATE,Q,2.73
2018Q3,USA,DATASET|USA|POLICY_RATE,Q,2.74
2018Q4,USA,DATASET|USA|POLICY_RATE,Q,2.75
